username,unit_id,completed_at
AndrewTsai,py_01_hello,2026-04-29T23:39:42.247066
AndrewTsai,py_02_vars,2026-05-01T00:26:04.625994
AndrewTsai,py_03_math,2026-05-01T00:26:36.889901
